source,paraphraser,iteration,ppl,xppl
OpenAI,dipper(high),2,3.64463141025641,3.8068696695095947
OpenAI,dipper(high),3,3.7586287313432836,3.9274720149253732
OpenAI,dipper(low),1,2.2919276385927505,2.980876865671642
OpenAI,dipper(low),2,2.357592617270789,3.0161580490405115
OpenAI,dipper(low),3,2.416094749466951,3.045242537313433
OpenAI,dipper,2,2.862140191897655,3.2765525053304905
OpenAI,dipper,3,2.894606210021322,3.322061567164179
OpenAI,original,0,2.199277052238806,2.8585087953091683
OpenAI,palm,1,2.015303203661327,2.777692362700229
OpenAI,palm,2,2.048482921511628,2.7998546511627906
OpenAI,palm,3,2.0538092798594847,2.803498243559719
OpenAI,pegasus(full),1,2.4681753065031984,2.9715651652452024
OpenAI,pegasus(full),2,2.5546708066239314,3.019940237713675
OpenAI,pegasus(full),3,2.6355001335470085,3.0685012686965814
OpenAI,pegasus(slight),1,2.2728128331556503,2.882737539978678
OpenAI,pegasus(slight),2,2.3326142723880596,2.9189598880597014
OpenAI,pegasus(slight),3,2.3818630063965887,2.9438799307036247
PaLM,chatgpt,1,1.9574333639705883,2.5004595588235294
PaLM,chatgpt,2,1.9832175925925926,2.521238425925926
PaLM,chatgpt,3,2.0658564814814815,2.5880787037037036
PaLM,dipper,1,2.055319393382353,2.5226907169117645
PaLM,dipper(high),1,3.3201976102941178,3.538028492647059
PaLM,dipper(high),2,3.4141773897058822,3.5863970588235294
PaLM,dipper(high),3,3.528377757352941,3.6886488970588234
PaLM,dipper(low),1,1.5048828125,2.067727481617647
PaLM,dipper(low),2,1.5751091452205883,2.1312614889705883
PaLM,dipper(low),3,1.6291934742647058,2.1763556985294117
PaLM,dipper,2,2.2136948529411766,2.6580882352941178
PaLM,dipper,3,2.3037109375,2.7328239889705883
PaLM,original,0,1.3259995404411764,1.9001034007352942
PaLM,palm,1,1.4263630319148937,2.0228557180851063
PaLM,palm,2,1.4638247282608696,2.074643342391304
PaLM,palm,3,1.4992621527777779,2.1217881944444446
PaLM,pegasus(full),1,1.8184168198529411,2.2456916360294117
PaLM,pegasus(full),2,1.9394386574074074,2.3318576388888888
PaLM,pegasus(full),3,2.0057002314814816,2.3776041666666665
PaLM,pegasus(slight),1,1.5017520680147058,2.0267693014705883
PaLM,pegasus(slight),2,1.630026424632353,2.1241957720588234
PaLM,pegasus(slight),3,1.7214211856617647,2.194680606617647
Tsinghua,chatgpt,1,2.155309764770241,2.6074346963894968
Tsinghua,chatgpt,2,2.255168269230769,2.681155563186813
Tsinghua,chatgpt,3,2.313922806291391,2.720086575607064
Tsinghua,dipper,1,1.9300545019006479,2.363087203023758
Tsinghua,dipper(high),1,3.010229650388769,3.265565942224622
Tsinghua,dipper(high),2,3.158532161187905,3.3869212338012957
Tsinghua,dipper(high),3,3.2945126889848813,3.4868723002159827
Tsinghua,dipper(low),1,1.6738323434557236,2.1813411177105833
Tsinghua,dipper(low),2,1.711047178725702,2.1996321544276456
Tsinghua,dipper(low),3,1.760001856112311,2.238981506479482
Tsinghua,dipper,2,2.0089430345788335,2.4194620680345573
Tsinghua,dipper,3,2.0493891738660905,2.4560694519438444
Tsinghua,original,0,1.621718075075594,2.1769370950323976
Tsinghua,palm,1,1.6437921495288754,2.2018961341033436
Tsinghua,palm,2,1.7069662465851392,2.302607391640867
Tsinghua,palm,3,1.7741257440317462,2.387655009904762
Tsinghua,pegasus(full),1,1.7039286075593953,2.0912020788552916
Tsinghua,pegasus(full),2,1.6957458232251084,2.0459364853896105
Tsinghua,pegasus(full),3,1.7013240665584415,2.036627435064935
Tsinghua,pegasus(slight),1,1.7044242710799136,2.203664956803456
Tsinghua,pegasus(slight),2,1.749620342850972,2.216927645788337
Tsinghua,pegasus(slight),3,1.765464700323974,2.20308281587473
