source,paraphraser,iteration,ppl,xppl
Human,palm,3,2.4876864711934155,2.880883487654321
Human,pegasus(full),1,2.8877450356415477,3.0775362780040734
Human,pegasus(full),2,2.9175908541344193,3.1464525521995927
Human,pegasus(full),3,2.900889845336049,3.128297638737271
Human,pegasus(slight),1,3.014535068737271,3.041878818737271
Human,pegasus(slight),2,2.990122995173116,3.0450849669042768
Human,pegasus(slight),3,2.972715917759674,3.0594808108553972
LLAMA,chatgpt,1,2.2352864583333334,2.62001953125
LLAMA,chatgpt,2,2.329736328125,2.6748860677083335
LLAMA,chatgpt,3,2.3333878138075312,2.6750947960251046
LLAMA,dipper,1,2.4432259316770186,2.8907543995859215
LLAMA,dipper(high),1,3.648744824016563,3.8131146480331264
LLAMA,dipper(high),2,3.6947463768115942,3.8451733954451344
LLAMA,dipper(high),3,3.7113095238095237,3.8415502070393375
LLAMA,dipper(low),1,2.1663593426501033,2.693096532091097
LLAMA,dipper(low),2,2.17870082815735,2.7020736283643894
LLAMA,dipper(low),3,2.1996150362318843,2.7198013716356106
LLAMA,dipper,2,2.541326992753623,2.966016433747412
LLAMA,dipper,3,2.5932162267080745,3.0077801501035197
LLAMA,original,0,2.176873059006211,2.7015883799171845
LLAMA,palm,1,2.100717358964803,2.7205696816770186
LLAMA,palm,2,2.1686170902489628,2.7849779564315353
LLAMA,palm,3,2.213118489583333,2.8097819010416667
LLAMA,pegasus(full),1,2.2538415502070395,2.6932744565217392
LLAMA,pegasus(full),2,2.2762155473706005,2.6901688664596275
LLAMA,pegasus(full),3,2.2964584950931677,2.6966064958592133
LLAMA,pegasus(slight),1,2.219453610248447,2.719049236542443
LLAMA,pegasus(slight),2,2.2478891692546585,2.729021092132505
LLAMA,pegasus(slight),3,2.2670322204968945,2.73634025621118
OpenAI,chatgpt,1,2.4419254856850716,2.91180981595092
OpenAI,chatgpt,2,2.4739155544147846,2.941510523613963
OpenAI,chatgpt,3,2.5300455032119915,2.9623929336188435
OpenAI,dipper,1,2.7955066191446027,3.290574083503055
OpenAI,dipper(high),1,3.751050152749491,3.9168469959266803
OpenAI,dipper(high),2,3.8347918788187374,3.973396130346232
OpenAI,dipper(high),3,3.8845025510204083,4.025426425661914
OpenAI,dipper(low),1,2.3930753564154785,3.0489116598778003
OpenAI,dipper(low),2,2.429878436863544,3.090567718940937
OpenAI,dipper(low),3,2.455098014256619,3.1110616089613035
OpenAI,dipper,2,2.8986125254582484,3.354187881873727
