source,paraphraser,iteration,ppl,xppl
Human,palm,1,2.6471032303370787,2.8051615168539326
Human,palm,2,2.404657587274775,2.7405159065315314
Human,palm,3,2.2431344696969697,2.6976122835497836
Human,pegasus(full),1,2.6667744824840764,2.9966162420382165
Human,pegasus(full),2,2.813462048832272,3.1111415207006368
Human,pegasus(full),3,2.8968833111702126,3.1825797872340424
Human,pegasus(slight),1,2.3770485005307855,2.767880838641189
Human,pegasus(slight),2,2.461136544585987,2.8261594347133756
Human,pegasus(slight),3,2.5315070992569004,2.882804206475584
LLAMA,chatgpt,1,2.376246861049107,2.7968226841517856
LLAMA,chatgpt,2,2.5495732223476297,2.836925084650113
LLAMA,chatgpt,3,2.568668693438914,2.8564408936651584
LLAMA,dipper,1,2.6941251376651985,3.1132468337004404
LLAMA,dipper(high),1,3.7240501101321586,3.880128028634361
LLAMA,dipper(high),2,3.736784140969163,3.8897990088105727
LLAMA,dipper(high),3,3.8196241740088106,3.9598705947136565
LLAMA,dipper(low),1,2.3749139592511015,2.815563050660793
LLAMA,dipper(low),2,2.3641588656387666,2.82877890969163
LLAMA,dipper(low),3,2.3604246971365637,2.831893584801762
LLAMA,dipper,2,2.7547322411894273,3.193815390969163
LLAMA,dipper,3,2.8274280699339207,3.2636976872246697
LLAMA,original,0,2.410999449339207,2.7280768171806167
LLAMA,palm,1,2.1854518113938055,2.730900857300885
LLAMA,palm,2,2.2430168202660754,2.6861141906873613
LLAMA,palm,3,2.3286410947383964,2.6718296743037975
LLAMA,pegasus(full),1,2.7616327092511015,3.011340170704846
LLAMA,pegasus(full),2,2.893688050660793,3.12955155561674
LLAMA,pegasus(full),3,2.979031869493392,3.1833700440528636
LLAMA,pegasus(slight),1,2.506194933920705,2.792005093612335
LLAMA,pegasus(slight),2,2.575922356828194,2.850203056167401
LLAMA,pegasus(slight),3,2.6386460627753303,2.8935159691629955
OpenAI,chatgpt,1,2.2314932036247335,2.791361273987207
OpenAI,chatgpt,2,2.2763421474358974,2.8114983974358974
OpenAI,chatgpt,3,2.3104967948717947,2.8334668803418803
OpenAI,dipper,1,2.6977892287234044,3.109657579787234
OpenAI,dipper(high),1,3.730252659574468,3.8764960106382977
OpenAI,dipper(high),2,3.743284574468085,3.8899933510638296
OpenAI,dipper(high),3,3.7980385638297873,3.9550199468085108
OpenAI,dipper(low),1,2.391655585106383,2.7963929521276594
OpenAI,dipper(low),2,2.3812977892340426,2.8100232712765956
OpenAI,dipper(low),3,2.396550864361702,2.8343251329787233
OpenAI,dipper,2,2.753025265957447,3.1809840425531917
OpenAI,dipper,3,2.8126994680851065,3.247440159574468
OpenAI,original,0,2.4492021276595746,2.729471409574468
OpenAI,palm,1,1.9678671375266525,2.653035047974414
OpenAI,palm,2,1.9642928685897436,2.6481036324786325
OpenAI,palm,3,1.9576753211991436,2.63764721627409
OpenAI,pegasus(full),1,2.780759640957447,2.9989860372340424
OpenAI,pegasus(full),2,2.884516289893617,3.0928108377659576
OpenAI,pegasus(full),3,2.974110704787234,3.1580036569148935
OpenAI,pegasus(slight),1,2.5486369680851064,2.794963430851064
OpenAI,pegasus(slight),2,2.599891954787234,2.8406748670212765
OpenAI,pegasus(slight),3,2.652539062510638,2.8826130319148935
PaLM,chatgpt,1,2.1039583333333334,2.6933506944444443
PaLM,chatgpt,2,2.548191713483146,2.8464712078651684
PaLM,chatgpt,3,2.567532376126126,2.865744650900901
PaLM,dipper,1,2.7248700765864333,3.127769420131291
PaLM,dipper(high),1,3.7222160489715534,3.896061269146608
PaLM,dipper(high),2,3.7721553610503284,3.9150369256017505
PaLM,dipper(high),3,3.8171157002188183,3.9735024617067833
PaLM,dipper(low),1,2.4328330142231946,2.843168763676149
PaLM,dipper(low),2,2.423755470459519,2.8555798687089715
PaLM,dipper(low),3,2.4298669994529543,2.8684696389496716
PaLM,dipper,2,2.7864469365426694,3.205535421225383
PaLM,dipper,3,2.8160557986870898,3.2385804157549236
PaLM,original,0,2.4556892778993435,2.7483930525164113
PaLM,palm,1,1.7765642132675439,2.5214158442982457
PaLM,palm,2,2.0968595805921053,2.6194661458333335
PaLM,palm,3,2.3029992055084745,2.685149629237288
PaLM,pegasus(full),1,2.8255607221006565,3.0378060038293215
PaLM,pegasus(full),2,2.978793421772429,3.1716698577680527
PaLM,pegasus(full),3,3.0516060927352298,3.221074945295405
PaLM,pegasus(slight),1,2.582672319474836,2.830672182713348
PaLM,pegasus(slight),2,2.662985503282276,2.8920951859956237
PaLM,pegasus(slight),3,2.714074466630197,2.9334398933260393
Tsinghua,chatgpt,1,2.1922632334183674,2.6895129145408165
Tsinghua,chatgpt,2,2.5639660989717226,2.8518436696658096
Tsinghua,chatgpt,3,2.5960252899484537,2.875
Tsinghua,dipper,1,2.6944663098236776,3.124094773299748
Tsinghua,dipper(high),1,3.6893498110831233,3.8644521410579347
Tsinghua,dipper(high),2,3.7639326196473553,3.889837846347607
Tsinghua,dipper(high),3,3.8812736742424243,4.007084382871536
Tsinghua,dipper(low),1,2.379821316120907,2.829876416876574
Tsinghua,dipper(low),2,2.369096347607053,2.8471347607052895
Tsinghua,dipper(low),3,2.383491420025189,2.8641569584382873
Tsinghua,dipper,2,2.774106580604534,3.201039042821159
Tsinghua,dipper,3,2.812263853904282,3.242502361460957
Tsinghua,original,0,2.4215011020151134,2.729652078085642
Tsinghua,palm,1,1.9560472328244274,2.5751630089058524
Tsinghua,palm,2,2.194644850127551,2.694694674744898
Tsinghua,palm,3,2.3537515096618358,2.7557367149758454
Tsinghua,pegasus(full),1,2.7946020938287153,3.0463535107052895
Tsinghua,pegasus(full),2,2.920202298488665,3.1530521882871536
Tsinghua,pegasus(full),3,2.9972548016372795,3.214194348236776
Tsinghua,pegasus(slight),1,2.5301676637279598,2.813267474811083
Tsinghua,pegasus(slight),2,2.60324504093199,2.8652392947103276
Tsinghua,pegasus(slight),3,2.6682934508816123,2.9214519049118386
